,price,type,address,url,agent_url,postcode,number_bedrooms,search_date,loc
341,235000.0,1 bedroom flat for sale,"13/3 Henderson Place, Stockbridge, Edinburgh, EH3 5DJ",http://www.rightmove.co.uk/properties/85866367,http://www.rightmove.co.uk/estate-agents/agent/Warners-Solicitors/Edinburgh-91640.html,EH3,1.0,2021-01-17 16:42:17.951429,"Henderson, 28A, Raeburn Place, Stockbridge, Stockbridge/Inverleith, City of Edinburgh, Scotland, EH4 1HN, United Kingdom"
342,235000.0,1 bedroom ground floor flat for sale,"Munro Place, Canonmills, Edinburgh, EH3",http://www.rightmove.co.uk/properties/86345449,http://www.rightmove.co.uk/estate-agents/agent/MOV8-Real-Estate-Principal-GPM-Branch/Scotland-Head-Office-138737.html,EH3,1.0,2021-01-17 16:42:17.951429,"Munro Place, Canonmills, New Town/Broughton, City of Edinburgh, Scotland, EH3 5LJ, United Kingdom"
343,230000.0,2 bedroom apartment for sale,"Papermill Wynd, Edinburgh, EH7",http://www.rightmove.co.uk/properties/99191633,http://www.rightmove.co.uk/estate-agents/agent/Purplebricks/covering-Scotland-151100.html,EH7,2.0,2021-01-17 16:42:17.951429,"Papermill Wynd, Broughton, New Town/Broughton, City of Edinburgh, Scotland, EH7 4QL, United Kingdom"
344,230000.0,1 bedroom flat for sale,"27/3 Cockburn Street, Old Town, Edinburgh, EH1 1BP",http://www.rightmove.co.uk/properties/82334983,http://www.rightmove.co.uk/estate-agents/agent/Warners-Solicitors/Edinburgh-91640.html,EH1,1.0,2021-01-17 16:42:17.951429,"Cockburn Street, Old Town, City of Edinburgh, Scotland, EH1 1BU, United Kingdom"
345,225000.0,2 bedroom flat for sale,"4/7 Easter Dalry Drive, Dalry, Edinburgh, EH11 2TD",http://www.rightmove.co.uk/properties/101061443,http://www.rightmove.co.uk/estate-agents/agent/MHD-Law-LLP/Edinburgh-206234.html,EH11,2.0,2021-01-17 16:42:17.951429,"Easter Dalry Drive, Ardmillan, Dalry, City of Edinburgh, Scotland, EH11 2TE, United Kingdom"
346,225000.0,1 bedroom apartment for sale,"Dublin Street, Edinburgh",http://www.rightmove.co.uk/properties/86190844,http://www.rightmove.co.uk/estate-agents/agent/Rettie-and-Co/Edinburgh-Sales-67544.html,,1.0,2021-01-17 16:42:17.951429,"Dublin Street, Bellevue, New Town/Broughton, City of Edinburgh, Scotland, EH1 3PG, United Kingdom"
347,225000.0,2 bedroom flat for sale,"Caledonian Crescent, Edinburgh, Midlothian, EH11",http://www.rightmove.co.uk/properties/97242470,http://www.rightmove.co.uk/estate-agents/agent/Your-Move/Edinburgh-8459.html,EH11,2.0,2021-01-17 16:42:17.951429,
348,225000.0,2 bedroom flat for sale,"13 Brunswick Road, Edinburgh, EH7",http://www.rightmove.co.uk/properties/98313974,http://www.rightmove.co.uk/estate-agents/agent/Purplebricks/covering-Scotland-151100.html,EH7,2.0,2021-01-17 16:42:17.951429,
349,225000.0,2 bedroom flat for sale,"12 (2F3) Iona Street, Leith, EH6 8SF",http://www.rightmove.co.uk/properties/88279882,http://www.rightmove.co.uk/estate-agents/agent/Cullertons/Edinburgh-170039.html,EH6,2.0,2021-01-17 16:42:17.951429,
350,250000.0,1 bedroom flat for sale,"162A Dundas Street, , Edinburgh, EH3 5DT",http://www.rightmove.co.uk/properties/87458872,http://www.rightmove.co.uk/estate-agents/agent/McEwan-Fraser-Legal/Scotland-68041.html,EH3,1.0,2021-01-17 16:42:17.951429,"Dundas Street, New Town, New Town/Broughton, City of Edinburgh, Scotland, EH3 6HZ, United Kingdom"
